genre,energy,loudness,tempo,danceability
Alternative,0.647,-8.509,79.81,0.709
Alternative,0.735,-4.749,163.132,0.436
Alternative,0.917,-6.086,140.639,0.544
Alternative,0.606,-5.06,93.06,0.603
Alternative,0.641,-5.104,142.043,0.487
Alternative,0.973,-3.642,125.691,0.524
Alternative,0.919,-5.938,108.017,0.657
Alternative,0.889,-4.43,131.995,0.611
Alternative,0.761,-4.469,119.001,0.675
Alternative,0.611,-5.739,79.572,0.584
Alternative,0.613,-9.656,119.536,0.588
Alternative,0.816,-5.917,100.009,0.771
Alternative,0.646,-5.334,112.228,0.492
Alternative,0.913,-5.014,108.01,0.663
Alternative,0.51,-7.688,165.98,0.328
Alternative,0.89,-5.552,159.275,0.257
Alternative,0.329,-11.781,145.04,0.358
Alternative,0.733,-5.375,146.936,0.45
Alternative,0.376,-10.549,89.671,0.343
Alternative,0.827,-5.772,82.05,0.496
Alternative,0.913,-3.452,163.689,0.444
Alternative,0.879,-4.197,119.746,0.667
Alternative,0.446,-11.354,51.539,0.442
Alternative,0.952,-2.888,130.997,0.508
Alternative,0.605,-11.492,134.092,0.698
Alternative,0.954,-3.741,126.059,0.601
Alternative,0.834,-7.737,105.292,0.665
Alternative,0.575,-11.758,91.041,0.555
Alternative,0.27,-9.591,120.308,0.565
Alternative,0.96,-4.159,173.855,0.393
Alternative,0.989,-4.5,142.29,0.529
Alternative,0.537,-5.646,79.982,0.584
Alternative,0.967,-5.45,119.582,0.343
Alternative,0.204,-22.191,167.335,0.604
Alternative,0.89,-6.062,169.97,0.411
Alternative,0.384,-10.371,126.57,0.533
Alternative,0.594,-14.033,157.917,0.525
Alternative,0.742,-4.531,139.933,0.558
Alternative,0.812,-4.193,99.935,0.556
Alternative,0.501,-6.664,69.858,0.245
Alternative,0.921,-2.581,140.031,0.28
Alternative,0.598,-8.386,82.991,0.56
Alternative,0.655,-8.3,92.259,0.657
Alternative,0.377,-8.768,89.794,0.516
Alternative,0.958,-4.096,165.973,0.445
Alternative,0.975,-4.372,100.014,0.498
Alternative,0.882,-5.209,127.993,0.586
Alternative,0.701,-6.054,120.005,0.757
Alternative,0.852,-4.448,155.653,0.364
Alternative,0.922,-4.802,124.947,0.552
Alternative,0.994,-2.222,87.469,0.218
Alternative,0.714,-6.315,120.598,0.529
Alternative,0.339,-10.722,65.995,0.52
Alternative,0.771,-9.752,81.615,0.495
Alternative,0.981,-5.412,97.131,0.399
Alternative,0.898,-3.966,119.972,0.654
Alternative,0.652,-6.196,173.009,0.274
Alternative,0.959,-4.611,104.985,0.493
Alternative,0.774,-5.082,153.259,0.594
Alternative,0.208,-11.669,90.346,0.389
Alternative,0.893,-4.589,148.043,0.348
Alternative,0.925,-7.336,134.177,0.404
Alternative,0.625,-5.112,170.397,0.487
Alternative,0.694,-8.627,167.964,0.663
Alternative,0.968,-4.421,144.054,0.4
Alternative,0.808,-5.209,128.025,0.598
Alternative,0.454,-9.952,173.272,0.428
Alternative,0.865,-4.626,125.985,0.483
Alternative,0.971,-2.661,100.078,0.546
Alternative,0.78,-7.412,111.46,0.324
Alternative,0.844,-5.184,147.115,0.507
Alternative,0.802,-8.15,90.794,0.45
Alternative,0.832,-4.357,145.981,0.531
Alternative,0.681,-6.423,108.989,0.819
Alternative,0.716,-4.312,92.721,0.379
Alternative,0.631,-9.101,153.295,0.436
Alternative,0.384,-9.295,133.149,0.784
Alternative,0.681,-5.188,99.694,0.711
Alternative,0.515,-7.959,168.265,0.622
Alternative,0.73,-4.856,90.392,0.259
Alternative,0.771,-5.943,155.3,0.674
Alternative,0.781,-4.004,116.793,0.516
Alternative,0.903,-5.977,91.985,0.531
Alternative,0.751,-9.414,114.907,0.593
Alternative,0.927,-4.212,154.047,0.374
Alternative,0.193,-11.186,99.99,0.84
Alternative,0.288,-11.147,79.536,0.633
Alternative,0.889,-4.331,140.535,0.586
Alternative,0.75,-7.278,160.124,0.407
Alternative,0.958,-2.999,138.039,0.649
Alternative,0.623,-8.72,99.846,0.482
Alternative,0.925,-4.475,199.905,0.284
Alternative,0.912,-5.553,138.871,0.287
Alternative,0.75,-5.092,97.229,0.769
Alternative,0.253,-11.082,88.705,0.669
Alternative,0.792,-6.453,87.069,0.641
Alternative,0.983,-4.574,153.677,0.28
Alternative,0.676,-8.821,104.545,0.278
Alternative,0.67,-7.135,78.223,0.518
Alternative,0.775,-4.384,104.924,0.75
Alternative,0.567,-11.075,172.857,0.262
Alternative,0.714,-6.134,98.003,0.706
Alternative,0.655,-9.768,113.74,0.672
Alternative,0.723,-4.015,137.963,0.528
Alternative,0.921,-6.368,91.899,0.512
Alternative,0.723,-4.651,90.596,0.401
Alternative,0.954,-3.159,131.634,0.557
Alternative,0.693,-6.521,119.699,0.835
Alternative,0.899,-3.185,105.032,0.608
Alternative,0.581,-6.586,147.966,0.489
Alternative,0.856,-6.271,95.402,0.504
Alternative,0.956,-3.766,155.974,0.424
Alternative,0.959,-3.245,166.006,0.414
Alternative,0.665,-4.763,130.967,0.758
Alternative,0.925,-5.299,105.253,0.263
Alternative,0.688,-6.765,119.987,0.627
Alternative,0.428,-8.622,102.597,0.811
Alternative,0.563,-8.855,161.155,0.389
Alternative,0.912,-10.71,103.731,0.543
Alternative,0.94,-5.401,97.096,0.568
Alternative,0.526,-10.662,128.09,0.74
Alternative,0.803,-3.989,157.887,0.526
Alternative,0.924,-5.067,177.742,0.479
Alternative,0.995,-2.831,116.444,0.401
Alternative,0.457,-9.075,100.043,0.896
Alternative,0.883,-4.823,152.03,0.515
Alternative,0.83,-3.96,137.997,0.677
Alternative,0.714,-9.496,104.227,0.858
Alternative,0.737,-4.681,172.022,0.34
Alternative,0.351,-7.628,141.689,0.655
Alternative,0.97,-2.855,149.937,0.356
Alternative,0.902,-5.48,136.596,0.44
Alternative,0.307,-12.4,157.999,0.796
Alternative,0.991,-4.169,93.122,0.424
Alternative,0.799,-3.641,92.215,0.542
Alternative,0.654,-4.553,141.991,0.46
Alternative,0.782,-6.167,87.971,0.576
Alternative,0.852,-4.875,149.868,0.487
Alternative,0.445,-12.19,113.068,0.427
Alternative,0.888,-5.88,141.374,0.372
Alternative,0.605,-8.303,181.539,0.727
Alternative,0.721,-5.96,160.061,0.708
Alternative,0.842,-11.74,146.22,0.612
Alternative,0.595,-5.354,101.032,0.654
Alternative,0.714,-4.533,112.053,0.667
Alternative,0.614,-8.902,138.111,0.557
Alternative,0.983,-4.937,129.905,0.435
Alternative,0.901,-3.759,146.041,0.587
Alternative,0.709,-5.448,124.089,0.552
Alternative,0.405,-8.807,99.971,0.606
Alternative,0.872,-5.072,159.867,0.442
Alternative,0.483,-10.1,71.234,0.315
Alternative,0.877,-3.861,112.742,0.357
Alternative,0.79,-5.199,91.623,0.202
Alternative,0.402,-8.581,166.813,0.425
Alternative,0.955,-3.576,179.997,0.214
Alternative,0.664,-7.331,137.18,0.804
Alternative,0.322,-7.983,78.019,0.52
Alternative,0.68,-5.216,80,0.651
Alternative,0.775,-11.038,104.959,0.842
Alternative,0.937,-3.545,144.003,0.628
Alternative,0.884,-4.313,131.733,0.311
Alternative,0.818,-5.626,156.05,0.51
Alternative,0.286,-9.816,143.938,0.563
Alternative,0.715,-7.54,82.977,0.305
Alternative,0.144,-16.868,117.462,0.555
Alternative,0.901,-3.266,110.819,0.313
Alternative,0.915,-4.86,137.849,0.313
Alternative,0.841,-5.099,127.984,0.404
Alternative,0.282,-15.25,108.192,0.33
Alternative,0.234,-12.201,132.74,0.367
Alternative,0.963,-2.932,120.015,0.489
Alternative,0.79,-4.833,149.903,0.49
Alternative,0.771,-4.463,100.01,0.688
Alternative,0.957,-4.576,180.013,0.38
Alternative,0.927,-4.266,125.346,0.478
Alternative,0.433,-10.611,144.957,0.464
Alternative,0.665,-7.868,157.063,0.418
